crop,year,season,rainfall_mm,temperature,humidity,nitrogen,phosphorus,potassium,ph,area_hectares,irrigation,fertilizer_used,yield_tons_per_hectare
Sugarcane,2022,Summer,1018.5,33.3,90.0,241.5,61.4,358.2,6.91,238.83,1,0,75.99
Soybean,2017,Kharif,709.6,29.0,70.8,133.2,64.4,100.0,6.35,26.86,0,0,1.93
Soybean,2015,Kharif,663.1,26.0,66.3,133.3,57.0,198.1,6.94,425.51,1,1,3.9
Cotton,2017,Kharif,875.8,27.5,58.0,159.7,22.2,262.1,7.52,332.93,0,1,1.73
Wheat,2023,Rabi,635.9,18.0,64.7,189.1,60.1,199.6,6.85,178.33,0,1,2.92
Rice,2018,Kharif,1296.5,29.0,86.0,257.5,44.7,243.5,6.14,498.85,1,1,5.14
Soybean,2022,Kharif,723.0,21.9,74.3,138.0,65.7,138.8,7.6,302.37,0,1,2.0
Wheat,2024,Rabi,557.8,26.9,55.9,236.8,57.2,172.3,7.49,473.69,0,1,3.24
Wheat,2024,Rabi,521.8,21.3,51.8,203.4,64.5,163.1,7.03,35.39,0,0,2.97
Rice,2023,Kharif,1279.5,28.2,88.3,197.7,51.5,273.6,6.4,372.38,0,1,4.71
Wheat,2017,Rabi,604.4,20.6,49.6,235.6,55.1,279.7,6.94,124.86,1,0,3.42
Maize,2022,Kharif,753.9,25.4,64.1,289.9,38.9,265.5,6.86,251.6,1,0,4.85
Wheat,2016,Rabi,536.7,20.9,48.4,222.2,64.5,242.8,7.57,249.01,1,0,3.23
Soybean,2021,Kharif,784.3,26.0,56.4,114.0,46.3,204.9,7.09,336.27,0,0,2.43
Maize,2018,Kharif,679.4,25.8,75.9,211.6,58.7,231.1,7.11,472.26,0,1,5.03
Rice,2024,Kharif,1371.9,29.0,78.2,187.2,48.8,246.7,7.0,412.73,0,0,3.4
Turmeric,2021,Kharif,763.2,29.6,65.6,185.1,48.2,260.8,6.8,400.13,0,0,6.84
Cotton,2021,Kharif,908.7,28.0,58.8,234.3,39.8,184.0,6.73,341.91,1,1,2.7
Rice,2016,Kharif,1346.8,29.7,84.3,187.8,46.6,182.6,5.55,300.66,1,0,3.62
Soybean,2022,Kharif,759.3,28.1,68.6,118.8,38.8,190.4,6.75,219.16,1,1,2.88
Cotton,2018,Kharif,743.7,30.3,59.7,161.2,54.5,248.3,7.71,26.66,0,1,2.03
Maize,2017,Kharif,681.9,24.4,73.5,228.6,56.2,261.5,6.85,136.8,1,1,6.81
Maize,2023,Kharif,669.4,27.3,65.8,131.7,47.2,224.3,6.59,451.78,1,1,5.15
Cotton,2022,Kharif,802.4,28.1,67.5,182.9,36.3,202.6,6.79,485.56,1,1,2.46
Cotton,2019,Kharif,825.4,30.7,76.3,184.4,53.7,260.4,7.19,265.6,0,1,2.06
Wheat,2017,Rabi,552.8,23.4,64.8,202.2,30.2,232.2,6.93,435.18,0,1,2.76
Turmeric,2024,Kharif,876.0,25.3,78.2,132.3,56.4,249.0,6.8,46.76,0,1,6.62
Cotton,2024,Kharif,816.6,29.7,58.8,165.7,44.8,214.9,6.74,399.2,0,1,2.19
Cotton,2024,Kharif,706.1,27.3,66.4,190.3,37.0,191.8,7.42,390.01,0,0,1.66
Wheat,2023,Rabi,507.0,19.0,50.2,237.7,53.0,168.3,7.19,447.57,1,1,4.06
Soybean,2020,Kharif,765.7,26.0,64.9,183.2,44.7,162.9,7.28,130.62,1,1,3.92
Rice,2015,Kharif,1310.9,31.6,88.4,248.4,50.2,233.3,6.97,439.44,1,1,5.1
Soybean,2021,Kharif,750.2,26.5,70.7,120.6,50.9,206.4,6.2,81.22,1,1,3.09
Wheat,2017,Rabi,535.8,24.4,45.5,247.0,61.8,218.2,7.04,65.1,0,0,2.94
Sugarcane,2015,Summer,1291.1,30.8,86.6,224.8,58.3,297.5,7.49,385.72,1,1,73.68
Maize,2024,Kharif,793.3,27.2,60.7,216.2,55.8,190.6,7.15,1.51,0,1,5.08
Maize,2022,Kharif,832.8,24.5,72.2,175.1,43.3,213.0,6.72,216.74,1,1,4.58
Soybean,2022,Kharif,666.9,26.7,62.4,103.8,59.4,174.3,6.81,80.46,0,0,2.36
Cotton,2021,Kharif,685.5,27.9,61.0,205.2,34.8,202.2,6.73,63.47,1,1,2.2
Cotton,2016,Kharif,902.0,29.8,62.1,161.4,43.5,226.5,7.19,340.55,0,1,1.92
Cotton,2020,Kharif,803.0,26.2,57.8,174.6,34.1,227.8,6.97,309.46,1,1,2.44
Rice,2016,Kharif,1355.6,30.4,90.0,213.0,43.6,245.8,7.11,410.9,0,1,4.01
Maize,2021,Kharif,819.9,26.8,78.5,260.6,60.8,304.7,6.62,330.75,1,1,6.94
Soybean,2018,Kharif,610.2,28.0,59.1,85.8,45.3,132.9,6.79,372.4,1,1,2.25
Maize,2015,Kharif,627.9,23.3,52.5,196.3,67.8,144.7,7.6,434.27,1,1,3.45
Wheat,2020,Rabi,587.4,21.0,51.2,278.1,67.8,208.1,7.76,180.22,0,1,3.41
Wheat,2020,Rabi,400.0,23.5,64.2,207.3,43.8,154.7,6.5,246.65,0,1,2.29
Maize,2022,Kharif,779.6,26.7,60.3,169.0,54.2,297.6,6.02,198.93,0,0,3.79
Sugarcane,2023,Summer,1222.3,33.7,87.3,264.5,73.0,304.8,6.76,84.35,0,0,72.82
Cotton,2016,Kharif,761.8,28.3,55.0,231.5,46.2,200.8,6.79,493.36,0,0,1.75
Rice,2016,Kharif,1049.1,30.3,84.6,174.4,49.0,264.0,5.66,162.24,1,1,4.04
Cotton,2020,Kharif,960.3,27.9,67.7,166.5,40.5,227.9,7.12,434.2,0,1,2.2
Rice,2017,Kharif,1363.2,26.3,84.1,228.1,41.8,229.5,6.06,470.5,1,1,4.1
Cotton,2016,Kharif,856.1,29.2,57.6,175.5,41.0,213.1,7.55,202.67,0,1,1.99
Soybean,2024,Kharif,728.8,23.9,55.9,124.2,43.0,218.1,6.56,198.69,1,1,3.44
Wheat,2017,Rabi,560.3,18.7,35.7,276.9,58.3,206.3,6.99,271.64,1,1,4.01
Maize,2021,Kharif,822.5,24.6,64.2,183.7,45.7,228.5,6.24,448.46,0,1,4.99
Rice,2017,Kharif,1242.0,30.6,82.5,181.1,49.1,278.0,7.03,290.89,0,1,4.27
Cotton,2022,Kharif,805.1,26.8,63.8,216.2,43.1,208.6,7.06,481.5,0,1,2.78
Cotton,2024,Kharif,920.8,28.6,53.1,200.8,43.7,261.2,6.58,88.21,0,1,2.55
Maize,2024,Kharif,733.1,28.3,63.5,201.5,48.5,248.6,6.75,226.43,1,0,6.88
Soybean,2023,Kharif,864.7,25.4,76.7,134.2,66.3,166.7,6.58,248.89,1,0,2.89
Cotton,2015,Kharif,675.9,30.3,69.9,164.4,41.6,166.2,6.91,298.28,0,1,1.65
Wheat,2017,Rabi,666.8,23.4,52.9,223.4,48.2,165.3,7.89,266.95,0,1,2.87
Wheat,2023,Rabi,573.0,22.0,47.7,250.3,62.6,227.1,7.09,411.08,0,1,4.05
Cotton,2020,Kharif,846.6,29.0,51.4,158.9,38.1,223.5,6.64,45.47,1,0,2.05
Soybean,2018,Kharif,712.9,27.9,76.8,120.7,25.3,211.0,7.56,140.57,1,1,1.89
Rice,2022,Kharif,1187.3,31.2,79.4,203.1,49.4,244.9,6.28,266.71,1,0,5.0
Wheat,2015,Rabi,581.8,20.7,34.8,207.0,45.1,217.8,7.23,461.46,0,1,2.64
Wheat,2018,Rabi,473.1,23.1,47.3,195.9,54.4,180.3,7.37,220.32,0,1,2.8
Cotton,2017,Kharif,850.1,25.5,54.1,194.7,31.8,238.8,6.72,89.71,1,1,2.48
Maize,2017,Kharif,761.0,28.8,64.8,186.3,49.8,244.5,6.73,184.51,0,1,4.78
Cotton,2021,Kharif,841.0,25.6,48.9,179.7,57.7,192.5,6.7,309.86,0,1,2.0
Cotton,2016,Kharif,670.9,25.3,71.8,159.9,48.3,195.8,6.92,163.01,1,1,2.35
Soybean,2024,Kharif,841.8,27.0,58.4,129.2,47.4,215.4,5.94,465.23,0,1,2.79
Cotton,2015,Kharif,898.2,29.6,59.0,180.3,35.7,189.2,7.04,222.19,0,0,1.39
Turmeric,2018,Kharif,957.5,31.4,82.0,137.3,65.0,245.5,6.2,387.55,1,0,7.47
Rice,2023,Kharif,1465.9,32.9,86.5,170.1,47.9,262.3,6.74,322.31,0,0,3.25
Soybean,2023,Kharif,696.8,26.0,66.5,112.0,50.0,206.1,7.0,188.62,1,1,3.49
Soybean,2016,Kharif,861.9,27.7,72.9,127.4,32.8,161.1,6.48,318.4,0,1,2.23
Rice,2018,Kharif,1336.8,31.0,90.0,133.5,45.6,312.5,6.93,409.07,0,1,3.88
Sugarcane,2023,Summer,1014.9,31.6,76.5,300.0,63.9,260.2,7.04,380.8,0,1,84.8
Soybean,2023,Kharif,672.6,24.1,61.8,99.6,29.1,200.6,6.47,277.56,0,1,2.1
Wheat,2019,Rabi,479.2,21.2,62.8,282.7,55.8,192.3,7.1,331.86,0,0,3.13
Rice,2022,Kharif,1183.9,31.6,77.1,194.0,41.4,267.9,6.5,302.14,1,1,5.5
Maize,2017,Kharif,689.2,25.3,68.8,206.6,55.8,284.5,6.25,220.66,0,1,4.8
Maize,2020,Kharif,703.9,27.7,69.1,259.0,66.7,227.2,6.46,495.57,1,1,7.77
Maize,2017,Kharif,732.1,26.3,63.5,161.1,49.5,218.2,7.36,130.39,0,1,4.23
Wheat,2015,Rabi,529.2,21.1,60.8,208.8,54.8,231.0,7.13,390.33,0,0,2.95
Turmeric,2020,Kharif,886.5,29.3,75.9,121.6,57.8,308.2,6.3,215.01,1,0,8.92
Cotton,2016,Kharif,874.1,27.5,63.9,176.9,58.8,186.5,7.22,366.49,0,0,2.16
Soybean,2017,Kharif,693.3,25.5,66.4,94.6,50.6,195.0,7.26,486.03,1,1,3.09
Cotton,2020,Kharif,892.0,27.5,63.2,174.0,38.9,215.1,6.65,274.87,1,0,2.46
Rice,2022,Kharif,1245.6,25.7,82.8,227.8,51.5,201.0,6.93,393.7,0,1,4.1
Soybean,2023,Kharif,758.0,25.2,56.0,151.6,45.4,151.9,6.43,280.53,1,1,2.59
Soybean,2017,Kharif,698.9,26.5,59.3,146.2,36.2,100.0,7.17,221.1,0,0,2.03
Wheat,2016,Rabi,525.8,21.3,47.4,292.2,44.3,200.8,7.37,159.06,1,1,4.71
Turmeric,2021,Kharif,929.1,27.3,70.8,164.3,37.4,281.8,6.61,62.09,1,1,9.0
Cotton,2023,Kharif,620.8,27.8,56.0,196.4,33.3,197.4,7.4,236.11,1,1,2.19
Soybean,2016,Kharif,719.8,29.0,67.8,97.4,53.2,138.7,6.79,374.66,1,1,3.07
Rice,2021,Kharif,1204.6,31.7,78.4,251.0,40.9,232.1,6.02,84.4,1,1,5.12
Maize,2016,Kharif,608.9,26.2,54.5,166.7,47.0,262.3,6.57,325.73,1,0,4.13
Wheat,2015,Rabi,523.9,23.4,59.1,245.9,61.2,167.3,7.1,21.97,1,1,4.51
Maize,2017,Kharif,707.3,25.2,49.9,143.8,57.8,252.0,6.68,436.5,0,1,3.84
Cotton,2018,Kharif,980.2,29.1,56.0,131.2,36.0,234.1,7.32,438.74,1,1,2.28
Rice,2018,Kharif,1253.3,29.0,78.9,197.3,52.0,224.5,6.6,110.89,0,1,4.26
Cotton,2020,Kharif,862.6,26.0,52.3,172.3,20.8,237.0,7.01,303.94,1,1,2.11
Rice,2021,Kharif,1193.7,30.2,80.8,112.4,32.7,331.9,6.62,491.94,0,1,3.62
Wheat,2018,Rabi,515.3,24.2,58.8,233.2,53.2,172.7,8.29,104.29,0,0,2.26
Rice,2022,Kharif,1179.2,29.9,90.0,212.0,51.2,273.7,6.22,266.27,1,1,5.16
Soybean,2024,Kharif,760.3,26.0,76.3,113.3,41.1,104.7,7.16,477.58,1,0,1.94
Cotton,2022,Kharif,786.5,29.0,69.8,215.3,26.1,228.3,7.46,375.84,0,0,1.75
Sugarcane,2018,Summer,1191.8,33.1,65.3,242.6,52.3,311.3,7.42,319.3,1,1,57.55
Maize,2020,Kharif,773.5,24.6,73.0,248.7,47.5,221.5,6.53,422.96,1,1,5.72
Sugarcane,2021,Summer,1178.0,35.2,74.1,239.9,47.9,271.8,7.39,160.11,1,1,60.8
Cotton,2016,Kharif,735.5,24.6,67.7,143.0,35.3,218.9,7.65,318.81,0,0,1.31
Rice,2016,Kharif,1299.1,29.8,75.4,136.9,42.2,236.3,6.36,243.31,0,1,3.62
Sugarcane,2018,Summer,1133.0,29.8,90.0,229.4,53.2,298.3,6.08,497.43,0,0,50.92
Maize,2017,Kharif,659.3,28.3,55.1,211.4,46.4,235.2,6.87,89.41,0,1,4.41
Rice,2016,Kharif,1096.9,29.1,81.8,146.6,46.9,250.6,6.27,312.08,1,1,5.12
Maize,2019,Kharif,857.4,26.3,65.2,207.6,46.5,133.0,7.06,373.18,0,0,3.56
Wheat,2015,Rabi,590.5,21.6,59.3,143.0,37.9,253.1,7.32,281.79,0,1,3.32
Maize,2017,Kharif,683.6,29.3,63.9,281.7,51.9,288.3,7.2,101.04,0,1,5.82
Rice,2020,Kharif,1371.7,28.9,83.3,195.7,42.1,215.4,7.19,264.09,1,1,4.44
Cotton,2022,Kharif,885.6,28.7,59.8,175.1,34.0,193.0,6.65,384.69,1,1,2.35
Soybean,2017,Kharif,805.5,27.8,64.0,131.2,42.4,141.4,6.15,316.41,1,1,2.99
Maize,2017,Kharif,750.7,26.4,52.7,202.8,50.2,143.9,6.75,401.94,1,1,5.15
Rice,2020,Kharif,1227.6,32.6,90.0,111.7,59.4,209.3,6.83,94.73,1,1,3.44
Soybean,2018,Kharif,748.0,23.3,67.3,104.3,50.2,213.4,6.42,72.3,1,0,2.37
Cotton,2016,Kharif,812.0,27.7,68.6,205.8,41.2,215.5,7.08,234.02,0,1,2.51
Soybean,2022,Kharif,740.6,22.1,75.0,144.1,62.4,183.1,7.17,482.08,0,1,2.65
Soybean,2019,Kharif,682.1,27.0,71.9,95.1,49.4,224.5,6.68,238.23,1,1,3.48
Cotton,2021,Kharif,838.6,27.2,57.0,171.8,42.9,258.8,7.84,384.02,0,1,2.57
Soybean,2022,Kharif,887.5,26.3,59.3,122.8,46.9,198.0,6.86,465.47,0,1,3.08
Wheat,2019,Rabi,598.8,23.0,48.1,211.1,59.4,221.6,7.68,344.33,0,1,3.52
Cotton,2024,Kharif,923.8,28.2,58.1,209.4,34.1,133.5,7.08,339.09,0,1,2.09
Soybean,2019,Kharif,797.4,28.3,49.1,110.1,48.2,154.0,6.43,323.58,1,1,2.28
Wheat,2021,Rabi,454.4,22.4,65.3,271.5,58.3,223.2,7.74,336.15,1,1,3.86
Rice,2023,Kharif,1205.6,30.7,74.2,159.0,51.8,265.5,7.13,311.58,1,1,4.57
Soybean,2023,Kharif,896.3,25.3,53.7,170.6,50.1,173.3,6.87,445.18,1,0,2.88
Maize,2016,Kharif,714.5,29.2,72.6,170.6,54.0,210.4,6.78,273.88,0,1,4.42
Soybean,2020,Kharif,742.1,28.1,54.4,140.6,49.2,162.3,6.85,55.34,1,1,3.17
Cotton,2020,Kharif,801.5,28.9,54.9,234.1,38.5,248.8,7.2,95.86,1,1,2.78
Rice,2018,Kharif,1225.1,31.2,85.8,175.7,36.3,258.8,5.99,282.98,1,1,4.5
Cotton,2019,Kharif,849.2,28.0,36.8,158.1,41.9,151.8,7.8,123.66,0,1,1.26
Rice,2018,Kharif,1339.5,28.4,75.5,258.9,40.8,162.7,6.78,193.78,1,1,5.0
Soybean,2017,Kharif,721.6,29.8,62.5,130.2,36.7,160.7,5.5,141.97,0,1,1.69
Maize,2023,Kharif,692.9,25.2,72.2,237.0,45.2,100.0,7.1,182.81,0,1,4.2
Cotton,2018,Kharif,595.3,29.4,54.1,149.1,34.0,268.7,6.59,213.19,0,0,1.54
Maize,2021,Kharif,626.1,25.3,62.1,224.7,42.5,163.1,6.47,305.21,1,1,4.93
Soybean,2021,Kharif,848.1,27.8,69.6,146.3,40.0,166.6,6.2,272.7,1,0,2.7
Wheat,2023,Rabi,527.3,21.3,51.7,207.1,50.4,167.0,7.58,86.87,1,1,3.9
Cotton,2015,Kharif,794.0,23.2,63.6,158.6,51.6,217.6,6.79,363.8,1,1,2.4
Soybean,2017,Kharif,704.2,23.4,57.7,124.7,52.3,216.9,6.78,353.39,0,1,3.03
Soybean,2020,Kharif,885.4,29.2,65.5,94.9,39.0,223.7,6.54,336.68,1,0,2.21
Soybean,2023,Kharif,733.7,25.7,73.7,124.1,49.6,204.5,6.34,439.11,1,0,3.06
Cotton,2021,Kharif,723.4,26.1,62.8,181.0,33.9,210.8,6.98,209.75,1,0,1.99
Rice,2024,Kharif,1165.8,30.3,90.0,228.0,61.9,207.3,6.55,291.51,0,1,5.12
Wheat,2020,Rabi,544.5,20.2,71.4,188.3,69.6,142.1,7.51,35.1,0,1,3.11
Rice,2020,Kharif,1283.2,29.6,90.0,169.7,58.6,241.8,6.79,157.14,0,1,4.29
Soybean,2018,Kharif,798.8,29.8,69.5,162.5,49.9,205.5,6.35,469.89,0,1,2.9
Cotton,2023,Kharif,910.5,31.5,49.7,164.9,42.1,231.8,7.28,217.58,0,1,1.73
Rice,2015,Kharif,1164.1,29.9,86.1,179.7,46.9,260.0,7.09,107.99,0,0,3.55
Sugarcane,2022,Summer,1271.2,32.3,78.9,256.2,67.7,234.1,6.55,100.94,1,1,92.41
Soybean,2020,Kharif,733.4,29.0,72.4,201.5,49.5,193.4,6.97,430.05,0,1,3.01
Wheat,2020,Rabi,647.6,18.7,51.2,196.2,46.0,225.8,7.19,392.76,1,0,3.04
Cotton,2019,Kharif,843.7,29.6,70.9,236.1,24.1,254.3,6.9,393.47,1,1,2.22
Cotton,2022,Kharif,826.2,27.7,60.7,173.1,33.2,227.0,6.11,394.86,0,1,2.5
Cotton,2020,Kharif,715.6,23.3,41.4,157.0,51.8,109.6,6.57,397.45,1,1,1.38
Rice,2019,Kharif,1301.0,29.4,77.3,203.7,32.8,183.3,6.38,359.65,1,1,4.46
Cotton,2020,Kharif,803.1,28.5,72.0,191.4,46.3,279.6,6.8,134.53,0,1,2.4
Cotton,2016,Kharif,806.9,26.0,52.6,153.1,36.7,180.2,7.1,206.57,1,1,2.2
Soybean,2015,Kharif,843.4,28.1,67.9,143.4,47.8,205.4,7.15,339.77,1,1,3.29
Sugarcane,2020,Summer,1133.8,32.7,67.5,240.4,74.3,336.7,6.73,362.0,0,1,77.33
Sugarcane,2017,Summer,1091.3,29.3,84.0,264.4,60.3,359.3,6.99,7.67,0,1,58.44
Turmeric,2018,Kharif,804.8,27.7,70.6,161.9,27.9,300.4,6.43,498.59,1,1,9.02
Rice,2016,Kharif,1330.2,31.2,77.6,216.0,56.6,268.2,6.53,331.18,0,0,4.71
Maize,2024,Kharif,820.5,25.4,55.1,161.5,46.5,235.6,7.32,379.49,0,0,2.97
Wheat,2024,Rabi,477.0,21.8,47.1,197.9,44.9,173.5,7.57,444.67,1,1,3.13
Wheat,2024,Rabi,641.2,20.2,59.1,197.0,63.5,161.8,7.61,254.02,0,0,2.89
Sugarcane,2015,Summer,971.4,33.8,83.7,264.0,59.7,353.3,7.01,264.83,1,1,90.56
Rice,2015,Kharif,1062.2,30.7,82.6,223.8,42.6,226.8,6.39,216.74,0,0,3.88
Sugarcane,2022,Summer,1189.5,33.2,83.6,249.5,58.1,232.1,7.22,333.72,0,1,68.69
Soybean,2017,Kharif,794.8,23.4,56.6,153.4,56.3,217.5,7.08,12.19,0,1,3.42
Rice,2019,Kharif,1345.9,32.7,77.0,257.8,60.0,227.4,6.66,201.77,0,0,4.53
Soybean,2019,Kharif,748.7,29.3,69.9,136.4,50.1,164.7,6.78,316.9,0,1,3.11
Maize,2022,Kharif,786.2,29.2,54.5,214.1,39.8,161.8,7.15,470.9,0,1,3.67
Rice,2020,Kharif,1201.9,30.3,70.0,220.6,47.1,257.5,5.68,290.28,0,1,3.92
Sugarcane,2016,Summer,1257.3,35.5,77.2,247.0,55.5,329.8,6.74,286.73,0,1,61.44
Sugarcane,2021,Summer,1049.7,34.4,76.4,284.7,76.1,349.1,6.55,251.29,1,1,104.36
Maize,2018,Kharif,725.2,28.5,68.9,186.1,63.7,206.2,6.06,174.41,0,1,4.14
Cotton,2022,Kharif,838.4,27.9,67.0,143.9,31.7,200.5,6.74,51.39,0,0,1.54
Soybean,2015,Kharif,855.0,28.7,64.5,102.4,60.1,184.1,6.31,177.49,0,1,2.61
Wheat,2024,Rabi,530.7,25.5,69.7,236.9,58.7,213.8,7.53,411.37,0,1,2.56
Maize,2015,Kharif,859.0,21.9,71.0,238.2,62.9,218.2,7.58,382.82,1,0,3.87
Cotton,2021,Kharif,699.6,28.5,57.2,143.0,45.3,136.1,8.07,227.54,1,0,1.63
Rice,2020,Kharif,1390.8,29.9,87.1,248.4,60.0,158.2,6.42,66.7,1,0,5.3
Maize,2017,Kharif,830.3,28.0,84.8,252.3,55.3,264.0,7.71,469.51,1,1,5.53
Cotton,2018,Kharif,779.1,26.6,66.6,160.3,34.1,217.2,6.99,375.38,0,1,2.14
Wheat,2023,Rabi,557.2,25.8,53.6,212.4,73.5,239.6,7.44,351.54,1,1,4.96
Cotton,2015,Kharif,1114.1,29.0,43.3,171.4,42.3,218.2,7.69,255.78,1,1,1.66
Soybean,2015,Kharif,784.0,27.4,56.2,122.5,43.6,139.5,6.99,386.92,1,0,2.52
Wheat,2019,Rabi,627.8,22.2,49.2,213.2,54.4,203.2,7.5,283.32,1,1,4.13
Sugarcane,2015,Summer,1266.0,34.8,66.8,239.9,66.5,417.1,6.84,327.04,0,0,57.83
Wheat,2018,Rabi,536.2,20.8,41.9,254.9,50.3,222.4,7.04,311.72,1,1,3.95
Cotton,2023,Kharif,640.4,26.7,62.1,156.1,35.5,194.0,7.29,120.75,1,0,1.82
Sugarcane,2015,Summer,944.6,28.6,78.4,205.8,69.2,294.9,7.04,4.43,0,1,57.46
Soybean,2023,Kharif,747.3,24.9,67.2,130.4,43.6,220.3,6.85,431.7,1,0,3.78
Soybean,2020,Kharif,764.0,28.1,66.8,138.3,52.9,122.1,7.31,451.3,0,1,2.47
Cotton,2021,Kharif,748.8,27.6,61.4,189.7,38.2,247.9,6.67,127.71,1,0,2.76
Rice,2021,Kharif,1304.1,29.9,79.4,204.5,42.6,179.2,6.44,87.09,1,0,4.26
Rice,2015,Kharif,1267.6,29.5,82.8,158.5,46.6,222.4,6.58,69.8,1,1,5.23
Sugarcane,2017,Summer,1215.4,31.2,68.8,257.6,64.5,294.5,6.64,111.4,0,1,69.68
Wheat,2018,Rabi,537.3,23.1,51.5,222.7,38.9,236.1,7.42,125.64,1,1,4.43
